0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
6,7,13,50,100.0,124.0,137.0,150.0,246.0,251.0,262.0,269.0,286.0,288.0,290.0,301.0,303.0,313.0,325.0,370.0,508.0,740.0,813.0,900.0,937.0,1008.0,1017.0,1161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,286,288,289,300.0,319.0,327.0,872.0,879.0,881.0,889.0,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,301,302,315,321.0,690.0,750.0,881.0,886.0,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,100,157,175,179.0,182.0,183.0,186.0,191.0,195.0,204.0,210.0,269.0,482.0,496.0,505.0,507.0,520.0,640.0,654.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,25,28,50.0,63.0,64.0,69.0,73.0,80.0,83.0,87.0,88.0,94.0,97.0,98.0,116.0,120.0,134.0,136.0,143.0,150.0,152.0,158.0,163.0,173.0,174.0,175.0,190.0,194.0,198.0,204.0,208.0,235.0,236.0,238.0,239.0,270.0,275.0,283.0,290.0,318.0,346.0,357.0,382.0,383.0,384.0,386.0,407.0,411.0,434.0,475.0,478.0,479.0,483.0,485.0,493.0,496.0,498.0,511.0,568.0,577.0,615.0,648.0,657.0,692.0,722.0,732.0,734.0,781.0,785.0,796.0,801.0,813.0,864.0,926.0,940.0,945.0,949.0,996.0,997.0,999.0,1000.0,1036.0,1052.0,1060.0,1074.0,1093.0,1180.0,1183.0,1249.0,1272.0
1,14,15,48,50.0,54.0,56.0,58.0,64.0,65.0,77.0,79.0,83.0,86.0,97.0,98.0,99.0,111.0,118.0,136.0,140.0,143.0,151.0,173.0,182.0,190.0,204.0,209.0,210.0,213.0,215.0,216.0,227.0,228.0,237.0,238.0,265.0,276.0,280.0,282.0,283.0,284.0,294.0,300.0,317.0,322.0,371.0,378.0,402.0,417.0,418.0,422.0,423.0,425.0,427.0,482.0,485.0,494.0,505.0,508.0,568.0,588.0,591.0,602.0,603.0,609.0,614.0,660.0,686.0,723.0,736.0,739.0,747.0,763.0,785.0,790.0,949.0,965.0,966.0,1039.0,1063.0,1141.0,,,,,,,,,,
1,3,25,93,127.0,137.0,147.0,150.0,250.0,268.0,273.0,274.0,283.0,293.0,298.0,405.0,407.0,508.0,740.0,748.0,1132.0,1258.0,1283.0,1302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,121,125,148.0,181.0,237.0,245.0,276.0,281.0,299.0,300.0,313.0,322.0,323.0,331.0,333.0,406.0,458.0,597.0,619.0,620.0,685.0,689.0,748.0,823.0,926.0,930.0,984.0,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,269,270,272,286.0,288.0,301.0,302.0,307.0,313.0,328.0,332.0,343.0,751.0,752.0,754.0,896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,8,11,12.0,13.0,25.0,48.0,50.0,79.0,97.0,100.0,121.0,132.0,133.0,135.0,144.0,151.0,172.0,173.0,174.0,176.0,180.0,193.0,200.0,204.0,229.0,234.0,235.0,238.0,273.0,274.0,281.0,294.0,318.0,357.0,447.0,448.0,471.0,474.0,475.0,509.0,514.0,515.0,546.0,568.0,591.0,603.0,609.0,628.0,678.0,684.0,690.0,692.0,715.0,735.0,778.0,841.0,1215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
