0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
1,12,13,14.0,19.0,25.0,26.0,47.0,57.0,58.0,64.0,69.0,70.0,71.0,82.0,86.0,89.0,97.0,99.0,113.0,126.0,131.0,135.0,136.0,151.0,152.0,154.0,162.0,169.0,170.0,179.0,180.0,181.0,182.0,185.0,186.0,188.0,190.0,191.0,193.0,194.0,195.0,196.0,199.0,202.0,209.0,214.0,215.0,224.0,234.0,237.0,241.0,275.0,276.0,286.0,318.0,367.0,387.0,393.0,408.0,423.0,428.0,432.0,443.0,451.0,462.0,463.0,479.0,483.0,485.0,487.0,488.0,494.0,496.0,497.0,498.0,509.0,513.0,514.0,515.0,523.0,526.0,527.0,530.0,602.0,607.0,609.0,610.0,629.0,630.0,647.0,659.0,660.0,692.0,699.0,705.0,729.0,732.0,739.0,775.0,778.0,792.0,794.0,863.0,921.0,923.0,950.0,953.0,954.0,955.0,960.0,961.0,964.0,965.0,966.0,968.0,970.0,971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,69,87.0,95.0,98.0,118.0,121.0,144.0,172.0,176.0,186.0,194.0,208.0,252.0,288.0,405.0,568.0,597.0,678.0,742.0,931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28,82,181.0,231.0,255.0,286.0,289.0,294.0,301.0,435.0,531.0,538.0,539.0,678.0,688.0,1007.0,1013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,28,67.0,71.0,79.0,82.0,88.0,94.0,95.0,99.0,118.0,122.0,133.0,139.0,140.0,145.0,153.0,161.0,211.0,216.0,218.0,225.0,226.0,234.0,252.0,257.0,318.0,328.0,383.0,384.0,389.0,392.0,393.0,403.0,404.0,419.0,423.0,424.0,432.0,444.0,450.0,465.0,508.0,526.0,550.0,573.0,616.0,672.0,679.0,720.0,758.0,780.0,838.0,916.0,1014.0,1030.0,1034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,132,148,182.0,485.0,496.0,679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,12,13.0,14.0,18.0,23.0,25.0,33.0,39.0,45.0,47.0,48.0,50.0,54.0,65.0,70.0,71.0,77.0,82.0,92.0,95.0,98.0,100.0,101.0,102.0,109.0,118.0,121.0,125.0,126.0,127.0,131.0,132.0,134.0,136.0,140.0,141.0,142.0,148.0,169.0,170.0,172.0,173.0,175.0,177.0,183.0,186.0,188.0,195.0,196.0,200.0,202.0,203.0,204.0,208.0,209.0,215.0,218.0,227.0,229.0,230.0,235.0,238.0,241.0,258.0,274.0,286.0,287.0,318.0,323.0,367.0,381.0,382.0,385.0,387.0,405.0,418.0,419.0,421.0,427.0,428.0,429.0,431.0,433.0,447.0,448.0,468.0,470.0,473.0,476.0,485.0,488.0,490.0,496.0,501.0,506.0,511.0,513.0,516.0,521.0,527.0,528.0,547.0,549.0,550.0,559.0,562.0,564.0,566.0,568.0,569.0,570.0,582.0,583.0,588.0,597.0,604.0,609.0,611.0,625.0,640.0,659.0,660.0,663.0,664.0,692.0,699.0,702.0,707.0,708.0,709.0,710.0,715.0,717.0,724.0,729.0,732.0,735.0,739.0,742.0,760.0,764.0,823.0,825.0,846.0,855.0,866.0,871.0,926.0,928.0,931.0,951.0,972.0,974.0,1009.0,1028.0,1047.0,1065.0,1107.0,1108.0,1109.0,1110.0,1113.0,1116.0,1117.0,1118.0
50,56,65,89.0,134.0,135.0,151.0,154.0,222.0,276.0,285.0,289.0,346.0,462.0,475.0,923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,15,25.0,50.0,56.0,98.0,109.0,117.0,121.0,143.0,150.0,151.0,168.0,174.0,176.0,181.0,195.0,214.0,222.0,240.0,257.0,258.0,268.0,288.0,298.0,307.0,313.0,338.0,358.0,368.0,405.0,411.0,421.0,588.0,597.0,628.0,742.0,751.0,758.0,772.0,829.0,886.0,928.0,1012.0,1014.0,1016.0,1047.0,1057.0,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,121,125.0,148.0,181.0,237.0,245.0,276.0,281.0,299.0,300.0,313.0,322.0,323.0,331.0,333.0,406.0,458.0,597.0,619.0,620.0,685.0,689.0,748.0,823.0,926.0,930.0,984.0,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,40,44,49.0,50.0,58.0,65.0,70.0,73.0,88.0,96.0,97.0,127.0,134.0,135.0,152.0,160.0,161.0,176.0,179.0,182.0,185.0,186.0,187.0,188.0,197.0,200.0,202.0,204.0,210.0,211.0,216.0,219.0,238.0,243.0,255.0,257.0,274.0,276.0,300.0,357.0,380.0,403.0,404.0,419.0,420.0,447.0,465.0,484.0,501.0,502.0,523.0,527.0,631.0,662.0,679.0,692.0,722.0,735.0,751.0,864.0,953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,118,121,181.0,220.0,252.0,258.0,298.0,300.0,458.0,476.0,546.0,756.0,815.0,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,8,17.0,29.0,55.0,68.0,80.0,82.0,83.0,94.0,98.0,99.0,100.0,101.0,109.0,117.0,121.0,145.0,151.0,161.0,176.0,184.0,195.0,196.0,201.0,202.0,215.0,230.0,231.0,232.0,236.0,239.0,260.0,265.0,284.0,289.0,294.0,356.0,368.0,369.0,385.0,402.0,403.0,406.0,409.0,410.0,416.0,423.0,425.0,426.0,451.0,469.0,470.0,541.0,547.0,561.0,568.0,578.0,585.0,588.0,596.0,628.0,665.0,675.0,719.0,720.0,721.0,728.0,743.0,790.0,802.0,816.0,840.0,849.0,895.0,919.0,930.0,932.0,1073.0,1101.0,1218.0,1222.0,1232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,50,111.0,151.0,251.0,257.0,271.0,272.0,736.0,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
