0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
14,15,19,23,28,32,56,59,69.0,70.0,81.0,86.0,87.0,95.0,98.0,100.0,117.0,124.0,125.0,131.0,133.0,134.0,135.0,136.0,143.0,151.0,154.0,156.0,175.0,180.0,183.0,187.0,188.0,189.0,193.0,195.0,197.0,199.0,204.0,205.0,208.0,209.0,211.0,213.0,221.0,238.0,248.0,258.0,269.0,275.0,276.0,284.0,286.0,294.0,297.0,301.0,304.0,318.0,357.0,423.0,432.0,458.0,459.0,463.0,466.0,467.0,469.0,470.0,471.0,475.0,476.0,477.0,478.0,479.0,480.0,481.0,483.0,484.0,486.0,487.0,488.0,492.0,498.0,499.0,500.0,506.0,508.0,509.0,511.0,513.0,515.0,517.0,518.0,521.0,523.0,524.0,525.0,526.0,528.0,532.0,534.0
242,243,259,322,332,680,877,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28,56,79,100,151,173,199,204.0,222.0,225.0,237.0,243.0,248.0,250.0,252.0,264.0,271.0,281.0,282.0,294.0,298.0,304.0,321.0,409.0,410.0,411.0,419.0,456.0,476.0,588.0,597.0,682.0,744.0,756.0,760.0,825.0,831.0,844.0,864.0,866.0,926.0,932.0,975.0,1011.0,1028.0,1047.0,1059.0,1071.0,1093.0,1094.0,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,7,8,9,25,33,39,40.0,55.0,63.0,64.0,67.0,68.0,70.0,73.0,79.0,82.0,87.0,88.0,90.0,96.0,97.0,118.0,120.0,135.0,154.0,157.0,161.0,163.0,177.0,182.0,183.0,186.0,192.0,196.0,201.0,208.0,209.0,210.0,211.0,229.0,231.0,233.0,238.0,239.0,254.0,274.0,300.0,303.0,318.0,367.0,382.0,384.0,385.0,386.0,393.0,401.0,403.0,409.0,411.0,491.0,515.0,519.0,521.0,523.0,550.0,554.0,566.0,568.0,576.0,585.0,628.0,629.0,651.0,679.0,684.0,702.0,705.0,732.0,775.0,790.0,796.0,810.0,996.0,1000.0,1016.0,1047.0,1072.0,1074.0,1079.0,1089.0,1182.0,1183.0,1184.0,1187.0,1189.0,1190.0,,,
258,269,271,300,302,305,321,333,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,269,292,305,339,340,345,690,751.0,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,89,135,137,143,175,182,202,242.0,286.0,289.0,302.0,333.0,357.0,414.0,462.0,479.0,480.0,484.0,488.0,527.0,640.0,708.0,806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,268,292,302,306,313,327,344,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31,56,71,96,127,132,176,183.0,215.0,483.0,496.0,629.0,660.0,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,100,121,123,172,222,237,283,293.0,423.0,471.0,763.0,845.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,38,56,66,69,77,79,88.0,96.0,98.0,127.0,143.0,148.0,159.0,161.0,164.0,173.0,181.0,185.0,191.0,195.0,202.0,204.0,205.0,209.0,210.0,211.0,216.0,218.0,233.0,234.0,237.0,240.0,326.0,357.0,392.0,419.0,443.0,474.0,485.0,504.0,511.0,554.0,628.0,632.0,692.0,717.0,732.0,769.0,792.0,864.0,930.0,1213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,19,25,50,93,106,116,117.0,121.0,126.0,150.0,244.0,276.0,286.0,293.0,295.0,411.0,475.0,1008.0,1010.0,1017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
