0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
7,28,56,79,100,151,173,199,204,222.0,225.0,237.0,243.0,248.0,250.0,252.0,264.0,271.0,281.0,282.0,294.0,298.0,304.0,321.0,409.0,410.0,411.0,419.0,456.0,476.0,588.0,597.0,682.0,744.0,756.0,760.0,825.0,831.0,844.0,864.0,866.0,926.0,932.0,975.0,1011.0,1028.0,1047.0,1059.0,1071.0,1093.0,1094.0,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,28,48,56,81,89,94,100,127.0,156.0,173.0,180.0,196.0,202.0,206.0,271.0,286.0,288.0,318.0,357.0,474.0,475.0,479.0,480.0,507.0,518.0,588.0,657.0,923.0,1073.0,1149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,100,121,124,126,129,137,150,237.0,272.0,285.0,288.0,301.0,324.0,326.0,333.0,1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,7,8,9,25,33,39,40,55.0,63.0,64.0,67.0,68.0,70.0,73.0,79.0,82.0,87.0,88.0,90.0,96.0,97.0,118.0,120.0,135.0,154.0,157.0,161.0,163.0,177.0,182.0,183.0,186.0,192.0,196.0,201.0,208.0,209.0,210.0,211.0,229.0,231.0,233.0,238.0,239.0,254.0,274.0,300.0,303.0,318.0,367.0,382.0,384.0,385.0,386.0,393.0,401.0,403.0,409.0,411.0,491.0,515.0,519.0,521.0,523.0,550.0,554.0,566.0,568.0,576.0,585.0,628.0,629.0,651.0,679.0,684.0,702.0,705.0,732.0,775.0,790.0,796.0,810.0,996.0,1000.0,1016.0,1047.0,1072.0,1074.0,1079.0,1089.0,1182.0,1183.0,1184.0,1187.0,1189.0,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,
258,269,271,300,302,305,321,333,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,55,82,89,169,181,189,243,288,350.0,358.0,362.0,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,269,292,305,339,340,345,690,751,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,89,135,137,143,175,182,202,242,286.0,289.0,302.0,333.0,357.0,414.0,462.0,479.0,480.0,484.0,488.0,527.0,640.0,708.0,806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,268,292,302,306,313,327,344,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31,56,71,96,127,132,176,183,215.0,483.0,496.0,629.0,660.0,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
