0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
13,19,50,251,257,279,280,281.0,290.0,292.0,297.0,298.0,299.0,301.0,303.0,307.0,308.0,312.0,313.0,314.0,315.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,300,302,307,313,346,347,688.0,1022.0,1294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,7,12,23,25,26,30.0,44.0,51.0,52.0,54.0,56.0,58.0,62.0,64.0,66.0,70.0,71.0,77.0,82.0,83.0,94.0,95.0,98.0,99.0,117.0,124.0,127.0,132.0,144.0,152.0,153.0,160.0,161.0,162.0,165.0,172.0,175.0,180.0,181.0,185.0,187.0,188.0,191.0,192.0,193.0,195.0,196.0,198.0,202.0,203.0,205.0,210.0,212.0,213.0,215.0,216.0,218.0,222.0,226.0,227.0,232.0,234.0,235.0,237.0,239.0,259.0,274.0,281.0,284.0,286.0,289.0,317.0,321.0,366.0,383.0,385.0,404.0,410.0,417.0,425.0,427.0,431.0,433.0,443.0,450.0,451.0,466.0,470.0,471.0,478.0,479.0,482.0,504.0,509.0,510.0,511.0,514.0,517.0,519.0,520.0,523.0,526.0,527.0,530.0,559.0,566.0,568.0,576.0,582.0,588.0,616.0,623.0,631.0,636.0,647.0,648.0,660.0,663.0,692.0,705.0,708.0,735.0,739.0,744.0,756.0,770.0,780.0,792.0,808.0,941.0,946.0,951.0,971.0,1028.0,1058.0,1093.0,1183.0,1206.0,1211.0,1220.0,1409.0
31,48,56,57,58,69,82,97.0,98.0,99.0,117.0,174.0,177.0,191.0,193.0,202.0,205.0,208.0,212.0,249.0,257.0,269.0,276.0,286.0,313.0,357.0,375.0,381.0,418.0,423.0,482.0,492.0,495.0,499.0,515.0,568.0,644.0,654.0,806.0,923.0,958.0,1194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22,52,65,70,79,85,87.0,100.0,135.0,174.0,185.0,188.0,190.0,193.0,197.0,198.0,211.0,213.0,230.0,237.0,269.0,275.0,292.0,319.0,346.0,419.0,433.0,435.0,474.0,480.0,494.0,511.0,515.0,520.0,523.0,647.0,648.0,652.0,684.0,705.0,747.0,792.0,898.0,1119.0,1149.0,1464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,50,83,88,111,117,118.0,148.0,150.0,164.0,181.0,208.0,243.0,255.0,275.0,277.0,288.0,294.0,319.0,405.0,411.0,471.0,476.0,478.0,496.0,546.0,713.0,742.0,748.0,815.0,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,5,7,11,38,40,50.0,53.0,54.0,62.0,69.0,73.0,82.0,86.0,92.0,95.0,96.0,99.0,100.0,102.0,117.0,125.0,127.0,128.0,132.0,135.0,144.0,145.0,153.0,157.0,159.0,180.0,181.0,195.0,202.0,204.0,210.0,225.0,227.0,230.0,231.0,234.0,237.0,265.0,274.0,282.0,286.0,288.0,316.0,322.0,323.0,381.0,387.0,404.0,419.0,420.0,431.0,448.0,449.0,465.0,468.0,472.0,476.0,483.0,499.0,508.0,538.0,540.0,542.0,544.0,554.0,559.0,566.0,568.0,571.0,576.0,586.0,629.0,631.0,655.0,663.0,690.0,692.0,693.0,715.0,722.0,723.0,735.0,736.0,756.0,780.0,781.0,790.0,845.0,934.0,942.0,975.0,977.0,1015.0,1028.0,1047.0,1049.0,1060.0,1168.0,1181.0,1313.0,1401.0,1459.0,1478.0,1479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,9,10,22,31,43,55.0,76.0,79.0,82.0,85.0,98.0,100.0,132.0,144.0,148.0,157.0,162.0,164.0,183.0,185.0,188.0,199.0,200.0,203.0,205.0,211.0,216.0,218.0,222.0,223.0,228.0,231.0,234.0,245.0,265.0,271.0,282.0,284.0,289.0,291.0,294.0,322.0,331.0,332.0,349.0,350.0,356.0,370.0,371.0,402.0,403.0,423.0,431.0,432.0,443.0,451.0,470.0,474.0,480.0,482.0,483.0,503.0,504.0,510.0,511.0,515.0,519.0,521.0,523.0,528.0,531.0,546.0,550.0,554.0,556.0,568.0,569.0,570.0,579.0,591.0,614.0,623.0,627.0,628.0,636.0,639.0,655.0,661.0,679.0,690.0,693.0,696.0,726.0,736.0,742.0,750.0,754.0,879.0,905.0,916.0,1015.0,1041.0,1042.0,1106.0,1109.0,1126.0,1135.0,1136.0,1139.0,1248.0,1263.0,1277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,22,25,55,56,65,69.0,73.0,79.0,82.0,85.0,87.0,96.0,98.0,125.0,127.0,132.0,144.0,151.0,168.0,173.0,182.0,208.0,215.0,216.0,222.0,223.0,227.0,230.0,239.0,241.0,246.0,257.0,268.0,280.0,286.0,288.0,291.0,294.0,298.0,300.0,317.0,318.0,323.0,324.0,328.0,385.0,392.0,410.0,416.0,423.0,435.0,462.0,465.0,472.0,475.0,501.0,568.0,588.0,609.0,685.0,699.0,721.0,735.0,806.0,819.0,827.0,829.0,841.0,871.0,879.0,959.0,1028.0,1035.0,1059.0,1088.0,1283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,52,57,58,61,70,79,86.0,87.0,124.0,131.0,133.0,134.0,136.0,149.0,152.0,153.0,155.0,162.0,174.0,175.0,180.0,191.0,197.0,199.0,208.0,211.0,213.0,242.0,257.0,268.0,269.0,276.0,285.0,297.0,318.0,321.0,344.0,382.0,414.0,428.0,435.0,462.0,463.0,479.0,480.0,483.0,497.0,498.0,508.0,511.0,529.0,584.0,603.0,605.0,607.0,629.0,631.0,651.0,657.0,659.0,664.0,692.0,694.0,699.0,702.0,705.0,716.0,732.0,736.0,740.0,847.0,882.0,900.0,904.0,929.0,953.0,962.0,1007.0,1101.0,1241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
